,duration,id,name,scale,exec_num,cpu_num,mem_num,tbl1_name,tbl2_name
0,32820.0,app-20170609054755-0157,Q23-2-2-4-4-nation-region,2,2,4,4,nation,region
1,295591.0,app-20170602170922-0431,Q23-5-4-4-4-partsupp-lineitem,5,4,4,4,partsupp,lineitem
2,241715.0,app-20170606103815-0309,Q23-4-2-4-4-partsupp-lineitem,4,2,4,4,partsupp,lineitem
3,92357.0,app-20170606120224-0358,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order
4,82115.0,app-20170609082207-0270,Q23-4-2-4-4-customer-order,4,2,4,4,customer,order
5,41954.0,app-20170603095808-0892,Q23-5-4-4-4-nation-region,5,4,4,4,nation,region
6,94872.0,app-20170609032714-0046,Q23-1-2-4-4-partsupp-lineitem,1,2,4,4,partsupp,lineitem
7,64169.0,app-20170602153802-0356,Q23-4-4-4-4-supplier-partsupp,4,4,4,4,supplier,partsupp
8,67479.0,app-20170602144252-0339,Q23-4-4-4-4-part-partsupp,4,4,4,4,part,partsupp
9,276820.0,app-20170602104539-0251,Q23-3-4-4-4-partsupp-lineitem,3,4,4,4,partsupp,lineitem
10,60866.0,app-20170609041538-0093,Q23-2-2-4-4-customer-order,2,2,4,4,customer,order
11,48053.0,app-20170609024304-0007,Q23-1-2-4-4-customer-order,1,2,4,4,customer,order
12,53363.0,app-20170606075654-0211,Q23-3-2-4-4-part-partsupp,3,2,4,4,part,partsupp
13,53305.0,app-20170602054541-0146,Q23-2-4-4-4-part-partsupp,2,4,4,4,part,partsupp
14,40855.0,app-20170603041202-0680,Q23-3-4-4-4-nation-customer,3,4,4,4,nation,customer
15,36334.0,app-20170602182517-0465,Q23-5-4-4-4-supplier-nation,5,4,4,4,supplier,nation
16,37937.0,app-20170603075307-0831,Q23-5-4-4-4-customer-order,5,4,4,4,customer,order
17,37215.0,app-20170602155427-0372,Q23-4-4-4-4-nation-region,4,4,4,4,nation,region
18,59673.0,app-20170602103045-0241,Q23-3-4-4-4-part-partsupp,3,4,4,4,part,partsupp
19,38668.0,app-20170606054118-0114,Q23-2-2-4-4-nation-customer,2,2,4,4,nation,customer
20,90370.0,app-20170609030516-0022,Q23-1-2-4-4-lineitem-order,1,2,4,4,lineitem,order
21,39981.0,app-20170605182517-0963,Q23-1-4-4-4-nation-customer,1,4,4,4,nation,customer
22,65166.0,app-20170603062248-0777,Q23-4-4-4-4-part-partsupp,4,4,4,4,part,partsupp
23,89112.0,app-20170606121100-0363,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order
24,2005524.0,app-20170602124335-0285,Q23-3-4-4-4-supplier-customer,3,4,4,4,supplier,customer
